Submission Year,State,State Code,Region Code,Service Population,Service Population Without Duplicates,State Population,Central Libraries,Branch Libraries,Bookmobiles,MLS Librarians,Librarians,Employees,Total Staff,Local Government Operating Revenue,State Government Operating Revenue,Federal Government Operating Revenue,Other Operating Revenue,Total Operating Revenue,Salaries,Benefits,Total Staff Expenditures,Print Collection Expenditures,Digital Collection Expenditures,Other Collection Expenditures,Total Collection Expenditures,Other Operating Expenditures,Total Operating Expenditures,Local Government Capital Revenue,State Government Capital Revenue,Federal Government Capital Revenue,Other Capital Revenue,Total Capital Revenue,Total Capital Expenditures,Print Collection,Digital Collection,Audio Collection,Downloadable Audio,Physical Video,Downloadable Video,Local Cooperative Agreements,State Licensed Databases,Total Licensed Databases,Print Subscriptions,Hours Open,Library Visits,Reference Transactions,Registered Users,Circulation Transactions,Interlibrary Loans Provided,Interlibrary Loans Received,Library Programs,Children’s Programs,Young Adult Programs,Library Program Audience,Children’s Program Audience,Young Adult Program Audience,Public Internet Computers,Internet Computer Use,Wireless Internet Sessions,Start Date,End Date
2015,AK,2,8,652274,652274,735601,85,16,1,58.81,112.53,190.51,303.04,32474960,1176158,1166883,3122020,37940021,13969263,9212580,23181843,2276916,488715,569660,3335291,9991895,36509029,4206200,20786393,500000,1289455,26782048,18337915,2434236,351606,116847,373121,277268,1181,695,4116,4811,5600,153410,3491307,392428,358089,4792662,27745,28177,12803,8802,1528,279080,202322,25902,998,772129,479245,01/2013,06/2014
2015,AL,1,5,4822023,4822023,4822023,221,76,14,329.58,736.22,1080.88,1817.1,88056291,4736727,1081174,9247116,103121308,54292921,14390910,68683831,6505277,1413812,2701279,10620368,20658148,99962347,1835628,0,191962,1435752,3463342,4777481,9442086,2714815,450144,646206.21957672,620827,27411,974,12737,13711,8932,626821,17217402,4417062,2663716,20526321,427590,412054,42145,21685,4844,1053347,696970,77371,5302,4359414,15224387,10/2013,09/2014
2015,AR,5,5,2833849,2643928,2915918,54,179,2,142.01,286.4,767.09,1053.49,64665467,5495428,0,4633340,74794235,33653433,10389231,44042664,5533401,2023580,1895616,9452597,18375101,71870362,6288532,289274,0,611755,7189561,8489855,6304377,532433,230003,185583,401308,10028,563,3016,3579,10137,445052,10973629,2282111,1615238,14390348,28247,26991,34227,21081,4620,997901,712783,88721,2596,1970448,160450,01/2014,12/2014
2015,AZ,4,6,10501253,6667241,6667241,85,135,11,461.32,546.24,1485.28,2031.52,157746903,1611605,2029032,7024609,168412149,77164201,28609129,105773330,14556902,6231405,5788517,26576824,44262826,176612980,7588520,30000,55484,83500,7757504,3436844,8229850,1367378,689616,694223.167359949,1116663,6281,969,2430,3399,14239,482261,27609711,5754966,3118825,43672067,324668,367263,73875,37852,6702,1472963,1034731,109545,5593,8255038,5880952,07/2013,06/2014
2015,CA,6,8,38322887,38322887,38340074,167,950,53,2976.5,3209.71,8388.34,11598.05,1265099905,13614724,4633053,71630786,1354978468,565090291,281367947,846458238,68898041,24944727,18886309,112729077,326843919,1286031234,50568512,203848,74604,11337389,62184353,82960891,65409430,2978360,3530931,564568.105411644,5139201,135125,3947,116,4063,92902,2267921,164300175,23208453,21723648,222788583,3567561,3512390,342664,206627,33645,9491467,6909344,531379,21735,35000501,14252610,07/2013,06/2014
2015,CO,8,7,5238320,5177510,5264890,97,162,13,663.22,910.62,2340.11,3250.73,265575219,1233937,772338,16374433,283955927,129272590,36756147,166028737,16445553,9371697,9594308,35411558,61043834,262484129,10236392,42120,0,3663220,13941732,45987892,10316703,1390637,922877,522582.354609929,1344808,30485.679541002,2160,0,2160,25553,608043,32981666,4208956,3588616,64683932,786027,879725,106717,67253,9064,2647097,1799469,151930,6407,7395748,6234884,01/2014,12/2014
2015,CT,9,1,4374214,3596080,3596080,192,47,4,752.51,1074.91,1210.12,2285.03,168823962,1618933,330504,24624113,195397512,114615887,33333225,147949112,12363802,3577446,3217904,19159152,36150456,203258720,9834713,3037860,216618,9350986,22440177,26583582,14577630,1312468,826586,1025994,1122198,13481,1687,7606,9293,21268,551274,21972583,3494403,1647190,31081616,934646,918765,95517,54737,7381,2003864,1226174,112501,4355,4465464,524318,07/2013,06/2014
2015,DC,11,2,658893,658893,658893,1,25,0,147,147,423,570,53095222,0,912671,180898,54188791,31828080,6851322,38679402,2000732,1340000,495000,3835732,11798205,54313339,12950000,0,0,0,12950000,10353699,1815540,177086,86416,16154,140667,804,74,0,74,2071,65208,4230790,921814,359371,3938767,0,180,14357,8514,1566,284969,225815,15624,1000,1050623,-1,10/2013,09/2014
2015,DE,10,2,925244,925244,925244,19,13,2,63.58,121.72,208.31,330.03,19805621,3997939,2053,1861803,25667416,12628074,4724159,17352233,1797136,158409,635597,2591142,5049298,24992673,148240,3142715,0,1723942,5014897,10029794,1642715,415170,114600,53865,175643,0,54,651,705,4354,85420,3834672,405585,379791,6180769,842407,816950,13056,5408,1197,256274,175335,17349,772,622515,139907,07/2013,06/2014
2015,FL,12,5,19813366,19464451,19839251,63,468,24,1669.69,1917.91,4074.37,5992.28,461436699,22913457,1181115,20302059,505833330,225861289,81550783,307412072,33012867,16421139,10771442,60205448,143395285,511012805,23899274,558107,0,378930,24836311,27841697,31602986,1797802,1947487,824733.434077903,3520618,140704,1844,4838,6682,43118,1244917,75553933,23686241,10615421,116693486,98964,125338,203578,96748,17006,4611959,2928059,314348,16781,19076151,3276803,10/2013,09/2014
2015,GA,13,5,10345555,10344907,10344907,63,332,13,598.08,598.08,2136.24,2734.32,159598459,27107821,477742,14087005,201271027,92301748,37636187,129937935,10619594,2887735,2051663,15558992,37486373,182983300,23784362,4709649,0,237562,28731573,28313315,16603157,335265,636670,259552.725412358,888316,1645.80944189602,254,10395,10649,16533,791940,29490195,8698842,4164735,39001826,715298,707502,67489,40018,6326,1876992,1466586,113464,8604,13141148,3215671,07/2013,06/2014
2015,HI,15,8,1404054,1404054,1404054,1,49,2,171,172,375.5,547.5,0,29887434,1655900,2419833,33963167,22147533,229606,22377139,2118598,1167229,76731,3362558,7414411,33154108,0,18750000,0,0,18750000,8147957,3313134,22966,232174,9338,155949,0,0,94,94,2703,92285,4875365,673944,915100,6465428,265,57,10005,6891,1926,275229,198898,46832,524,723305,177357,07/2013,06/2014
2015,IA,19,4,3096479,3051835,3092341,543,24,3,296.9,984.49,771.43,1755.93,107847482,2555833,857997,10510978,121772290,60411849,19347663,79759512,9635941,2493237,3221261,15350439,22662911,117772862,10874861,10536920,18521642,7605654,47539077,58636397,12000156,4667772,672180,2505618,940872,3772,1090,7346,8436,29548,1003536,18047771,1712143,2056436,27866711,350983,383006,75050,50700,6293,1620467,1281377,94146,4726,3422321,1786714,07/2013,06/2014
2015,ID,16,7,1364648,1355680,1634465,100,44,11,96.15,208.46,556.04,764.5,46162010,1360679,21931,4146131,51690751,23239633,7268027,30507660,4012661,1155658,672774,5841093,12517171,48865924,1582052,6861,81892,359334,2030139,3432730,4323706,242096,234524,65548,316865,533,195,5253,5448,6125,275749,8730670,1332927,846363,14336583,149736,153159,30325,21377,2931,767031,631032,53030,1792,1878131,266527,10/2013,09/2014
2015,IL,17,3,11711641,11677289,12880580,625,157,19,2146.19,3154.25,5465.73,8619.98,714407174,44736498,3382151,39559647,802085470,370966438,94584774,465551212,48067899,19273379,14036924,81378202,163518559,710447973,40745694,25243857,31054,7371571,73392176,117370901,43503775,7157642,2688520,2264329.12514727,3494083,185390.862655036,7717,13750,21467,85144,1927485,72605776,10405493,5606184,114164794,5428275,5469695,194683,119282,16791,4693071,3293369,316295,15867,13885831,-1,10/2012,06/2014
2015,IN,18,3,6219453,6100143,6483802,236,191,25,940.63,1435.34,2942.43,4377.77,294462940,21600414,903429,16083730,333050513,144092072,47270015,191362087,24392433,10325158,8497580,43215171,75416413,309993671,29005601,1838563,413844,6321895,37579903,30388819,24369165,4227186,1584384,704925,2112776,41480,3264,14694,17958,46128,1094830,35441059,4559518,3716275,77209842,365020,368906,137956,81430,13356,2974236,1933209,195244,8759,7226264,6532952,01/2014,12/2014
2015,KS,20,4,2495794,2495794,2893957,327,49,5,279.23,700.26,1022.48,1722.74,104906554,4029830,244888,11872646,121053918,56756885,17035226,73792111,8828932,2947364,2623055,14399351,26913847,115105309,2327183,0,0,1800259,4127442,4202532,9300570,302365,480597,45385.3832988777,819423,18462.5880193688,396,17056,17452,14972,688140,13931862,1990621,1774222,25043430,879144,883506,58951,35508,5523,1240790,871178,80953,3740,3165157,654016,01/2014,12/2014
2015,KY,21,5,4395295,4395295,4395295,119,87,75,349.42,1199.75,978.61,2178.36,161990162,5499282,631093,8515586,176636123,63983150,23932804,87915954,11155043,4405180,4302424,19862647,31630358,139408959,1833141,401500,16647,2170160,4421448,31151779,9032867,6915930,517217,2017976,806143,922536.364179104,1207,3624,4831,17243,628550,19283936,4466855,2664920,30480023,55680,78242,89404,58369,7055,2006238,1426392,113081,4858,4550684,1266660,07/2013,06/2014
2015,LA,22,5,4671955,4629284,4629284,68,272,28,457.54,1048.21,1586.36,2634.57,226021907,6325343,635572,5902838,238885660,87464372,32394437,119858809,13609036,5284424,5039913,23933373,56202099,199994281,11649738,1000000,859359,2809062,16318159,46348769,11895895,879540,465752,295813,1055908,44857,719,4284,5003,23003,790760,17242110,4574434,2476596,20838047,93055,104495,75024,41820,10501,1800229,1133928,169931,5359,5276086,1819445,01/2014,12/2014
2015,MA,25,1,6672700,6587339,6587339,370,94,4,1260.69,1798.56,1909.86,3708.42,251775710,6938700,497265,26355659,285567334,181015565,27920430,208935995,22409912,6232340,6745156,35387408,49071634,293395037,22578841,14315472,31980,5465370,42391663,45965755,31284463,7479050,1499943,1828193.82836879,1900442,114769,5009,22200,27209,44545,916634,42011647,4884966,3395801,63106520,6677783,6805551,128677,74280,10265,2565482,1767577,122424,6430,7279216,1526660,07/2013,06/2014
2015,MD,24,2,5828289,5828289,5828289,15,172,16,651.08,1348.86,1982.3,3331.16,223793485,51318496,975471,29378702,305466154,138497400,54510282,193007682,19429066,7406725,7500928,34336719,35707386,263051787,28144869,1415118,0,262163,29822150,42103479,12735957,1906659,1068364,1477036,1106941,9070,546,216,762,22846,485019,27793912,8640094,3491938,58307979,266163,302038,64001,42531,5190,1784890,1274009,132072,4858,6494653,3135070,07/2013,06/2014
2015,ME,23,1,1339278,1218380,1330089,264,6,1,155.77,339.94,341.87,681.81,32241871,363900,48024,11666538,44320333,24183169,5981915,30165084,3181751,377267,670177,4229195,9458249,43852528,2499606,0,74363,7382086,9956055,7393396,6311244,1250177,230770,811873,362614,14327,17442,1,17443,9476,382344,6913327,757957,759409,9372346,488254,539942,38412,21882,2354,581480,352537,24162,1961,1206007,136935,04/2013,12/2014
2015,MI,26,3,9849089,9844810,9898193,385,259,9,1238.11,1777.89,3012.81,4790.7,359285768,11070837,486509,25404155,396247269,174190243,62945210,237135453,24013147,6630975,9540514,40184636,93853803,371173892,6850972,49290,159986,7118309,14178557,24794044,32565459,2803502,1968511,971790.290178462,2451954,46626.1913875598,1699,15560,17259,50621,1425210,50132634,9284074,5128464,83845712,2740279,2931252,125326,69603,11135,3167988,2100613,203240,11930,10827079,5654741,12/2012,09/2014
2015,MN,27,4,5739502,5417838,5417838,129,227,8,519.2,775.15,1361.81,2136.96,182233620,8918905,97563,19938516,211188604,98927386,32418492,131345878,14499431,5041239,4471933,24012603,51291274,206649755,20663779,29332,0,212052,20905163,23940529,14612520,3471705,883217,458876,985434,27497,1015,6576,7591,26248,727435,24566264,3964376,4080678,54127960,1148394,1091411,62120,37914,6263,1396310,1032396,76959,5630,5441683,864660,01/2014,12/2014
2015,MO,29,4,5476144,5476144,6044917,139,223,27,270.27,798.53,2341.64,3140.17,223182602,4033130,2212267,14188411,243616410,102489201,32038518,134527719,18058010,8106515,6513523,32678048,54418076,221623843,2423701,0,0,1021273,3444974,10317626,16795429,273974,983276,83014,1126986,9530,1149,1596,2745,33921,910767,29533421,3605038,3289934,55722391,335277,372666,89474,46818,7009,2268611,1646678,171055,4945,6376873,1306989,10/2012,10/2014
2015,MS,28,5,3001323,2982557,2994079,52,183,2,130.78,630.29,310.26,940.55,35863756,8068541,1490662,6327061,51750020,24366403,8436587,32802990,3227364,505753,715380,4448497,11524643,48776130,24397,62190,318682,54160,459429,841053,5641524,60677,203485,16402,332341,296,170,2704,2874,6397,444649,9191161,1568287,1637307,8066272,13924,20712,25659,14473,1999,637635,424681,29858,2769,2522679,401928,10/2013,09/2014
2015,MT,30,7,996627,988533,988533,82,33,4,72.11,190.3,192.85,383.15,24590502,569829,11830,1929253,27101414,13075407,4589376,17664783,1833750,458010,479054,2770814,4799316,25234913,7594454,0,0,76845,7671299,7609135,2566095,953053,107035,688152,184416,21580,136,2788,2924,4030,220094,4703036,536952,481933,5941658,220081,231622,14329,9349,1197,311284,208543,21168,1282,1912867,220258,07/2013,06/2014
2015,NC,37,5,9861952,9861952,9861952,69,316,23,718.88,771.64,2135.19,2906.83,183175530,13851494,1606642,13967234,212600900,104608452,37639192,142247644,15096236,3781534,2801557,21679327,38479511,202406482,8267770,74275,363561,58962,8764568,11163529,16751726,3335644,710239,470675,814043,85921,479,5280,5759,22118,921072,35106249,6726172,5059879,52848517,177222,194317,120019,81887,8607,2605492,2112685,129165,7671,7806189,1305266,07/2013,06/2014
2015,ND,38,4,650604,650604,739482,78,4,11,39.88,134.27,111.03,245.3,15478970,1547176,11532,1263219,18300897,8517104,2373551,10890655,1737302,411533,326663,2475498,3944576,17310729,168937,0,13950,8069,190956,347748,2303520,384491,90461,119286,119605,12613,1886,1975,3861,3665,143815,2186038,373837,281392,3994628,59012,38913,7940,5265,1267,183507,145049,12589,848,577405,132129,01/2014,12/2014
2015,NE,31,4,1541684,1541684,1868969,267,19,7,115.43,357.64,435.79,793.43,51712793,556044,249700,3264701,55783238,26518379,8441498,34959877,4943174,1486558,1098111,7527843,9854306,52342026,1307034,0,267000,1912851,3486885,3074996,5915734,2697124,254574,1239000,342263,268,888,5073,5961,13222,451258,8333692,826080,1085590,13162862,31470,30219,32543,20349,3018,726967,563590,43840,2942,2130767,967657,01/2013,12/2014
2015,NH,33,1,1445227,1174260,1323259,228,5,0,221.31,474.96,334.39,809.35,53800224,58492,3674,4245833,58108223,32318917,9852642,42171559,4205907,753284,1059727,6018918,9548236,57738713,2292678,0,3930,2351695,4648303,3275912,5860768,4248095,282062,1602898,439419,237,822,5244,6066,11333,392563,7509774,901415,809993,10448050,251521,258797,46351,26420,2944,749247,490198,32649,1473,991583,176166,07/2013,12/2014
2015,NJ,34,2,9414939,8708750,8791894,296,143,12,1177.28,1410.33,3323.64,4733.97,449614622,3786577,835625,18793799,473030623,231317535,94681183,325998718,26734242,6113387,7917806,40765435,86341388,453105541,9913006,189548,540800,1385852,12029206,10372327,28228099,3162812,1721872,2457318.85185185,2106354,280548.805969302,4318,8288,12606,50033,1176738,45848755,7756313,4408002,58683207,2365731,2359827,178601,95163,15732,3335649,2000242,207662,8023,9799563,4210632,01/2014,12/2014
2015,NM,35,6,1670727,1646422,2085287,95,27,1,125.64,282.04,377.23,659.27,42323009,2708991,207372,2719540,47958912,20894260,8057770,28952030,4025980,1554520,1124687,6705187,9816345,45473562,5671834,2926859,206057,379546,9184296,7760951,4309295,197152,210179,89883,307311,1177,460,4275,4735,6300,257155,7351791,1426952,1029945,9226822,16077,20792,20050,11397,2763,469943,335275,37130,1639,2094371,1916770,07/2013,06/2014
2015,NV,32,8,2795962,2795962,2795962,18,67,3,166.48,203.06,633.85,836.91,63624617,21665481,1060515,3584631,89935244,39426116,14978257,54404373,5423622,2247627,2580105,10251354,13810612,78466339,409050,0,0,632821,1041871,890622,4297937,215253,398235,80046,585559,27075,206,756,962,6521,162956,10525170,1528487,1323756,21042400,185870,128629,25878,14217,1172,814150,486550,24376,1307,2736610,1203473,07/2013,06/2014
2015,NY,36,2,19521570,19378102,19378102,755,310,7,3437.24,4073.88,8390.97,12464.85,1080968139,63255442,5792339,191656418,1341672338,605134988,270976297,876111285,63359838,22665285,16065413,102090536,238606490,1216808311,19124796,10413010,0,87067000,116604806,126989107,70815265,14596150,3509047,3453399,5154677,745920,13183,8316,21499,166683,2392554,106453546,28105028,10925440,143089084,7370942,7438907,500005,213468,55526,8951644,4630849,725295,19411,22261108,9771506,03/2013,12/2014
2015,OH,39,3,11525088,11525088,11525088,239,470,53,1901.03,2598.91,6335.88,8934.79,332528033,345037953,459460,79941208,757966654,338687062,109128539,447815601,45861255,18901253,32163245,96925753,142700760,687442114,2840,0,189751,7274105,7466696,64418500,42782249,40371164,3516670,10589572,5085701,705723.761937479,3831,21335,25166,133648,1873378,82495138,19664931,9043300,183628646,11912575,11469527,270480,174003,26919,6106582,4513893,456598,12931,20037428,4381429,01/2014,12/2014
2015,OK,40,6,3160556,3156166,3888566,116,96,4,293.52,679.94,789.15,1469.09,105045474,2238182,608529,5688044,113580229,53933788,18060053,71993841,8689746,3285626,3306177,15281549,24413560,111688950,11313217,843,33032,616263,11963355,11757353,7152132,1647955,473873,417929,422044,22679,588,4095,4683,8520,498711,13687407,2508272,2043524,21853577,31601,39950,39114,20974,4134,1161528,757565,79888,3067,3619212,684920,07/2013,06/2014
2015,OR,41,8,3754296,3754296,3919020,127,95,7,411.11,499.04,1302.17,1801.21,188339786,1269070,792545,10673983,201075384,82257985,43710543,125968528,10723781,4366675,3963201,19053657,43888018,188910203,6736695,13109,154421,1623547,8527772,8282534,9872900,3895007,752264,2572488,918553,148429.245735303,1167,3120,4287,17402,424778,21640633,2329663,1961047,57135908,4977406,4676376,65817,45164,6532,1518406,1227929,74656,3135,3883152,13104454,07/2013,06/2014
2015,PA,42,2,12446680,12428101,12702379,451,170,23,1164.29,1481.54,2961.98,4443.52,223409031,57379652,1819838,61268159,343876680,163050108,58030442,221080550,22371974,7011479,6021933,35405386,78001488,334487424,1460478,494847,111517,7631612,9698454,21257729,25780211,5301993,2140503,2282611.32289731,1857006,417155.8791894,4022,6825,10847,45727,1444417,44791865,7851903,5330482,66393992,4436687,4507204,207872,125188,19448,4101104,2955004,270086,8050,8543924,6372909,07/2013,12/2014
2015,RI,44,1,1431901,1051511,1051511,47,23,1,206.98,248.51,336.59,585.1,32083396,8024252,422707,6399795,46930150,25246451,8817963,34064414,2418106,516649,702647,3637402,8169346,45871162,2162048,911487,246723,1728006,5048264,5371737,4233090,1226544,147763,463627,225827,13703,177,1776,1953,5141,157940,6025726,694308,466618,7161678,1087132,1085635,25792,13070,2359,407511,207300,22971,1397,1424836,-1,07/2013,06/2014
2015,SC,45,5,4652360,4652360,4652360,40,152,31,475.21,602.36,1306.73,1909.09,118522777,6717938,308073,5004682,130553470,62750473,22988790,85739263,10136582,2686896,3897250,16720728,23512495,125972486,8018035,1250000,0,259957,9527992,8653062,9106716,493708,433564,295493,717538,23057,429,2058,2487,14330,491590,18178677,2843180,2599480,26021153,108332,141252,44152,24216,3879,1005858,692762,99007,4203,4481009,1150677,07/2013,06/2014
2015,SD,46,4,1214319,760709,852175,112,32,5,45.23,181.46,174.67,356.13,23957009,0,387000,914711,25258720,12618310,3913743,16532053,1877014,889309,477813,3244136,4536938,24313127,2809387,5803,755910,886220,4457320,4582717,2807214,975976,111004,305433,150229,6495,1718,4368,6086,4565,257059,3914777,379404,383507,5763501,21314,24794,12474,9453,1205,274433,234741,15229,1105,1474838,133473,01/2014,12/2014
2015,TN,47,5,6333476,6333476,6469352,186,100,3,261.57,560.54,1256.75,1817.29,104956581,385706,201212,6554517,112098016,54373516,18276208,72649724,9714965,2820700,1640328,14175993,21527508,108353225,23581683,164597,3200,932927,24682407,21730184,11761312,15245473,593488,5907063,735278,487014,501,13020,13521,11878,619995,19528492,3483395,3362436,26175547,99515,113259,48876,28537,6168,1318056,928990,112756,5043,5268362,-1,07/2013,06/2014
2015,TX,48,6,24379565,24379565,26448193,554,319,7,1676.75,2443.28,4344.54,6787.82,467537819,109699,442263,19327678,487417459,239319244,89767364,329086608,37055437,14140562,10578451,61774450,82107869,472968927,37709483,3414,397688,2208304,40318889,46910672,40413604,3425405,2061177,956468,2800271,57438,2580,26371,28951,52482,1909795,73078235,14791635,13187230,113283343,703945,679537,244531,127070,23029,6071883,4179684,350617,19070,17528031,14591219,02/2013,12/2014
2015,UT,49,7,2880340,2871325,2900872,57,70,16,215.48,360.79,878.48,1239.27,99059659,1173276,359997,3964279,104557211,44071223,19165073,63236296,9058695,2759763,2672993,14491451,20053660,97781407,15766587,45033,6739,507511,16325870,13809234,6643558,557338,613520,781547,645808,10157,211,3007,3218,12043,310481,17654845,2794282,1793578,37216765,16780,25087,33019,22070,2716,1260052,962393,59339,2088,2947638,1687831,07/2013,12/2014
2015,VA,51,5,8088031,8088031,8326289,83,274,22,878.66,974.35,2841.62,3815.97,248703894,15346834,1825928,11714719,277591375,140790238,48332271,189122509,16485330,6014909,4783855,27284094,56529053,272935656,21174820,0,33375,802038,22010233,14371039,17539588,1997762,1017716,332452,1193415,37652,878,455,1333,21863,924534,37405643,7259488,4850306,74613394,146484,166122,96799,61880,7362,2335862,1660050,138023,6875,7246441,4691566,07/2013,06/2014
2015,VT,50,1,687129,604908,626630,181,3,4,64.28,210.85,134.68,345.53,17787199,0,35626,4073524,21896349,12354271,2803274,15157545,1783312,276956,372465,2432733,5562800,23153078,780640,38200,0,262507,1081347,1314131,2940126,82117,139772,115139.164486122,192725,1077,234,7898,8132,5986,266606,3779545,539291,323486,4479630,37634,46042,24556,15099,1329,382193,264223,15460,1089,649906,660675,01/2013,12/2014
2015,WA,53,8,6862264,6862264,6968170,54,290,27,783.01,826.88,2894.99,3721.87,387509151,43313,478868,13083622,401114954,189003987,69033158,258037145,26023708,16325944,7893787,50243439,66698810,374979394,4529778,0,0,1620328,6150106,8479833,13429660,1787761,1191917,783391,1530980,28987,934,915,1849,41162,769400,41280937,4205269,4361927,83745438,498340,327986,82882,50587,13422,2153202,1609938,213483,6573,10539089,4236737,01/2014,12/2014
2015,WI,55,3,5728745,5728745,5732981,378,82,6,684.72,1142.18,1910.54,3052.72,210199757,4294419,612516,13404587,228511279,113610095,39679518,153289613,16302829,2360016,5846103,24508948,46079535,223878096,17970971,1671,1885,6522395,24496922,23937452,18796863,47106859,1462543,11064932,1967544,399538,2360,17526,19886,39904,1073498,32854187,4486502,3452345,60411136,8996078,9043411,92810,60314,6919,2226932,1683696,104324,6284,6037314,2511986,01/2014,12/2014
2015,WV,54,5,1852994,1852994,1852994,97,76,8,95.13,361.58,284.56,646.14,25892233,9834051,409032,2938132,39073448,17152412,5611116,22763528,3393581,884260,796767,5074608,7066344,34904480,517073,411270,409032,752568,2089943,4513477,5034331,4801068,194685,420032,295330,17570,394,1455,1849,6339,377833,5367596,620737,933968,6261504,117160,114582,23509,15765,2012,419781,317745,28023,1450,1075496,88915,07/2013,06/2014
2015,WY,56,7,582658,582658,582658,23,53,2,58.29,180.47,282.44,462.91,30199906,2000,4941,1897433,32104280,17092744,6359410,23452154,1732866,278526,686317,2697709,5494704,31644567,8906689,0,0,53526,8960215,1486047,2496972,171815,164681,135420,197130,283,121,1794,1915,4141,142867,3666825,486424,400460,4914332,36724,32284,16278,11180,2281,374605,291431,34766,868,904784,126942,07/2013,06/2014
